"Hash","Action","KeepPath","File","SizeBytes","LastWrite","QuarantineDest"
"0CC990C0EA4FAA5DB9B9EDCD7FCBC028A4F87A6D3A0F567DAC76CB222B718B19","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Asia\Taipei","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Asia\Taipei","761","8/16/2025 4:26:15 PM",""
"0CC990C0EA4FAA5DB9B9EDCD7FCBC028A4F87A6D3A0F567DAC76CB222B718B19","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Asia\Taipei","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\ROC","761","8/16/2025 4:26:14 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_pytz_zoneinfo_ROC"
"0D542E0C8804E39AA7F37EB00DA5A762149DC682D7829451287E11B938E94594","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\packaging-25.0.dist-info\licenses\LICENSE.APACHE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\packaging-25.0.dist-info\licenses\LICENSE.APACHE","10174","8/16/2025 9:58:20 PM",""
"0D542E0C8804E39AA7F37EB00DA5A762149DC682D7829451287E11B938E94594","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\packaging-25.0.dist-info\licenses\LICENSE.APACHE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\packaging\LICENSE.APACHE","10174","8/16/2025 4:25:42 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_pip-25.2.dist-info_licenses_src_pip__vendor_packaging_LICENSE.APACHE"
"0D9EA5053E83188032A6FB4D301D5DB688F43011E5B6B1F917A11B71A0DA7B16","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Reunion","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Reunion","133","8/16/2025 4:26:16 PM",""
"0D9EA5053E83188032A6FB4D301D5DB688F43011E5B6B1F917A11B71A0DA7B16","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Reunion","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Mahe","133","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Indian_Mahe"
"0D9EA5053E83188032A6FB4D301D5DB688F43011E5B6B1F917A11B71A0DA7B16","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Reunion","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Asia\Muscat","133","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Asia_Muscat"
"0D9EA5053E83188032A6FB4D301D5DB688F43011E5B6B1F917A11B71A0DA7B16","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Indian\Reunion","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Asia\Dubai","133","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Asia_Dubai"
"0E06E7E55AEDBC92EF5B3D106E7C392AB1628CFD8A428B20E92E99028A0BFBB9","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Pacific\Auckland","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Pacific\Auckland","1043","8/16/2025 4:26:16 PM",""
"0E06E7E55AEDBC92EF5B3D106E7C392AB1628CFD8A428B20E92E99028A0BFBB9","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Pacific\Auckland","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Antarctica\McMurdo","1043","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Antarctica_McMurdo"
